Member Number,Animal Type,Animal Name,Gender,D.o.B,Primary Breed,Purpose,Status (if Cow),Acquisition,farming Type,Feeding & Milking Habits,Feed Type,Photograph Ref.
00225,Cattle,Amo 34,Female,,Ayshire,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00227,Cattle,Rark,Female,,Red Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00229,Cattle,Scribe,Female,,Ayshire,Milk,Producing,Birth,Grazing,2xDay,"Grass, Suppliment",
00231,Cattle,Good Boy,Female,,Freshian,Milk,Dry,Purchase,Zero,2xDay,"Grass, Suppliment",
00232,Cattle,Security,Female,,Freshian,Milk,Dry,Purchase,Zero,2xDay,"Grass, Suppliment",
00233,Cattle,Mary,Female,,Freshian,Milk,Dry,Purchase,Grazing,2xDay,"Grass, Suppliment",
00242,Cattle,Tharuni ,Female,,Ayshire,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
00245,Cattle,Rironi Kanini,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00250,Cattle,Duma,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00251,Cattle,Bater,Female,,Freshian,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
00256,Cattle,Motho,Female,,Freshian,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
00260,Cattle,Junior,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00267,Cattle,Kamandura,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00280,Cattle,Mwai,Female,,Freshian,Milk,Producing,Birth,Grazing,2xDay,"Grass, Suppliment",
00283,Cattle,Justina,Female,,Ayshire,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
00284,Cattle,Reddi,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00299,Cattle,Runana,Female,,Freshian,Milk,Dry,Birth,Zero,2xDay,"Grass, Suppliment",
00301,Cattle,Justice,Female,,Freshian,Milk,Dry,Birth,Grazing,2xDay,"Grass, Suppliment",
00302,Cattle,Hellena,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00309,Cattle,Karendi,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00312,Cattle,Jennifer,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00313,Cattle,Junior,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00322,Cattle,Jata,Female,,Ayshire,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00324,Cattle,Kamburu,Female,,Red Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00325,Cattle,Amo 34,Female,,Ayshire,Milk,Producing,Birth,Grazing,2xDay,"Grass, Suppliment",
00328,Cattle,Rark,Female,,Freshian,Milk,Dry,Purchase,Zero,2xDay,"Grass, Suppliment",
00330,Cattle,Scribe,Female,,Freshian,Milk,Dry,Purchase,Zero,2xDay,"Grass, Suppliment",
00342,Cattle,Good Boy,Female,,Freshian,Milk,Dry,Purchase,Grazing,2xDay,"Grass, Suppliment",
00347,Cattle,Security,Female,,Ayshire,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
00352,Cattle,Mary,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00356,Cattle,Tharuni ,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00359,Cattle,Rironi Kanini,Female,,Freshian,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
00360,Cattle,Duma,Female,,Freshian,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
00365,Cattle,Bater,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00366,Cattle,Motho,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00369,Cattle,Junior,Female,,Freshian,Milk,Producing,Birth,Grazing,2xDay,"Grass, Suppliment",
00380,Cattle,Kamandura,Female,,Ayshire,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
00387,Cattle,Mwai,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00392,Cattle,Buster,Female,,Freshian,Milk,Dry,Birth,Zero,2xDay,"Grass, Suppliment",
00394,Cattle,July,Female,,Freshian,Milk,Dry,Birth,Grazing,2xDay,"Grass, Suppliment",
00398,Cattle,Valentine,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00399,Cattle,Suzzana,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00406,Cattle,Tintin,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00416,Cattle,Champion,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00425,Cattle,Papaya,Female,,Ayshire,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00426,Cattle,Butter,Female,,Red Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00427,Cattle,Galaher,Female,,Ayshire,Milk,Producing,Birth,Grazing,2xDay,"Grass, Suppliment",
00428,Cattle,Gabriella,Female,,Freshian,Milk,Dry,Purchase,Zero,2xDay,"Grass, Suppliment",
00438,Cattle,Junior,Female,,Freshian,Milk,Dry,Purchase,Zero,2xDay,"Grass, Suppliment",
00442,Cattle,Kendi,Female,,Freshian,Milk,Dry,Purchase,Grazing,2xDay,"Grass, Suppliment",
00446,Cattle,Mwai,Female,,Ayshire,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
00449,Cattle,Buster,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00460,Cattle,July,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00474,Cattle,Valentine,Female,,Freshian,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
00477,Cattle,Suzzana,Female,,Freshian,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
00481,Cattle,Tintin,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00484,Cattle,Champion,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00486,Cattle,Papaya,Female,,Freshian,Milk,Producing,Birth,Grazing,2xDay,"Grass, Suppliment",
00487,Cattle,Butter,Female,,Ayshire,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
00488,Cattle,Galaher,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00492,Cattle,Pamela,Female,,Freshian,Milk,Dry,Birth,Zero,2xDay,"Grass, Suppliment",
00493,Cattle,Justice,Female,,Freshian,Milk,Dry,Birth,Grazing,2xDay,"Grass, Suppliment",
00494,Cattle,Tele,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00501,Cattle,Tomboy,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00507,Cattle,Mischief,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00508,Cattle,Jennifer,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00511,Cattle,Junior,Female,,Ayshire,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00517,Cattle,Jata,Female,,Red Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00530,Cattle,Kamburu,Female,,Ayshire,Milk,Producing,Birth,Grazing,2xDay,"Grass, Suppliment",
00533,Cattle,Amo 34,Female,,Freshian,Milk,Dry,Purchase,Zero,2xDay,"Grass, Suppliment",
00540,Cattle,Rark,Female,,Freshian,Milk,Dry,Purchase,Zero,2xDay,"Grass, Suppliment",
00543,Cattle,Scribe,Female,,Freshian,Milk,Dry,Purchase,Grazing,2xDay,"Grass, Suppliment",
00548,Cattle,Good Boy,Female,,Ayshire,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
00551,Cattle,Security,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00558,Cattle,Mary,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00561,Cattle,Tharuni ,Female,,Freshian,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
00564,Cattle,Rironi Kanini,Female,,Freshian,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
00571,Cattle,Duma,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00572,Cattle,Bater,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00574,Cattle,Motho,Female,,Freshian,Milk,Producing,Birth,Grazing,2xDay,"Grass, Suppliment",
00578,Cattle,Junior,Female,,Ayshire,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
00579,Cattle,Kamandura,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00580,Cattle,Mwai,Female,,Freshian,Milk,Dry,Birth,Zero,2xDay,"Grass, Suppliment",
00590,Cattle,Galaher,Female,,Freshian,Milk,Dry,Birth,Grazing,2xDay,"Grass, Suppliment",
00591,Cattle,Pamela,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00594,Cattle,Justice,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00596,Cattle,Tele,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00597,Cattle,Tomboy,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00612,Cattle,Mischief,Female,,Ayshire,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00613,Cattle,Jennifer,Female,,Red Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00618,Cattle,Junior,Female,,Ayshire,Milk,Producing,Birth,Grazing,2xDay,"Grass, Suppliment",
00624,Cattle,Jata,Female,,Freshian,Milk,Dry,Purchase,Zero,2xDay,"Grass, Suppliment",
00626,Cattle,Kamburu,Female,,Freshian,Milk,Dry,Purchase,Zero,2xDay,"Grass, Suppliment",
00642,Cattle,Amo 34,Female,,Freshian,Milk,Dry,Purchase,Grazing,2xDay,"Grass, Suppliment",
00651,Cattle,Rark,Female,,Ayshire,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
00652,Cattle,Scribe,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00654,Cattle,Good Boy,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00657,Cattle,Security,Female,,Freshian,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
00659,Cattle,Mary,Female,,Freshian,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
00662,Cattle,Tharuni ,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00663,Cattle,Rironi Kanini,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00664,Cattle,Duma,Female,,Freshian,Milk,Producing,Birth,Grazing,2xDay,"Grass, Suppliment",
00666,Cattle,Bater,Female,,Ayshire,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
00667,Cattle,Motho,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00670,Cattle,Junior,Female,,Freshian,Milk,Dry,Birth,Zero,2xDay,"Grass, Suppliment",
00672,Cattle,Kamandura,Female,,Freshian,Milk,Dry,Birth,Grazing,2xDay,"Grass, Suppliment",
00674,Cattle,Mwai,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00675,Cattle,Justina,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00680,Cattle,Reddi,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00681,Cattle,Runana,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00682,Cattle,Justice,Female,,Ayshire,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00683,Cattle,Hellena,Female,,Red Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00684,Cattle,Karendi,Female,,Ayshire,Milk,Producing,Birth,Grazing,2xDay,"Grass, Suppliment",
00686,Cattle,Jennifer,Female,,Freshian,Milk,Dry,Purchase,Zero,2xDay,"Grass, Suppliment",
00688,Cattle,Junior,Female,,Freshian,Milk,Dry,Purchase,Zero,2xDay,"Grass, Suppliment",
00694,Cattle,Jata,Female,,Freshian,Milk,Dry,Purchase,Grazing,2xDay,"Grass, Suppliment",
00696,Cattle,Kamburu,Female,,Ayshire,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
00697,Cattle,Amo 34,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00705,Cattle,Rark,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00708,Cattle,Scribe,Female,,Freshian,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
00713,Cattle,Good Boy,Female,,Freshian,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
00720,Cattle,Security,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00723,Cattle,Mary,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00724,Cattle,Tharuni ,Female,,Freshian,Milk,Producing,Birth,Grazing,2xDay,"Grass, Suppliment",
00725,Cattle,Rironi Kanini,Female,,Ayshire,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
00734,Cattle,Duma,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00743,Cattle,Bater,Female,,Freshian,Milk,Dry,Birth,Zero,2xDay,"Grass, Suppliment",
00745,Cattle,Motho,Female,,Freshian,Milk,Dry,Birth,Grazing,2xDay,"Grass, Suppliment",
00750,Cattle,Junior,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00753,Cattle,Kamandura,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00754,Cattle,Mwai,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00756,Cattle,Buster,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00757,Cattle,July,Female,,Ayshire,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00759,Cattle,Valentine,Female,,Red Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00764,Cattle,Suzzana,Female,,Ayshire,Milk,Producing,Birth,Grazing,2xDay,"Grass, Suppliment",
00768,Cattle,Tintin,Female,,Freshian,Milk,Dry,Purchase,Zero,2xDay,"Grass, Suppliment",
00770,Cattle,Justina,Female,,Freshian,Milk,Dry,Purchase,Zero,2xDay,"Grass, Suppliment",
00782,Cattle,Reddi,Female,,Freshian,Milk,Dry,Purchase,Grazing,2xDay,"Grass, Suppliment",
00787,Cattle,Runana,Female,,Ayshire,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
00790,Cattle,Justice,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00791,Cattle,Hellena,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00794,Cattle,Karendi,Female,,Freshian,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
00795,Cattle,Jennifer,Female,,Freshian,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
00806,Cattle,Junior,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00817,Cattle,Jata,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00818,Cattle,Kamburu,Female,,Freshian,Milk,Producing,Birth,Grazing,2xDay,"Grass, Suppliment",
00820,Cattle,Amo 34,Female,,Ayshire,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
00821,Cattle,Rark,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00838,Cattle,Scribe,Female,,Freshian,Milk,Dry,Birth,Zero,2xDay,"Grass, Suppliment",
00840,Cattle,Good Boy,Female,,Freshian,Milk,Dry,Birth,Grazing,2xDay,"Grass, Suppliment",
00843,Cattle,Security,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00844,Cattle,Mary,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00853,Cattle,Tharuni ,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00855,Cattle,Rironi Kanini,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00867,Cattle,Duma,Female,,Ayshire,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00875,Cattle,Bater,Female,,Red Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00877,Cattle,Motho,Female,,Ayshire,Milk,Producing,Birth,Grazing,2xDay,"Grass, Suppliment",
00887,Cattle,Junior,Female,,Freshian,Milk,Dry,Purchase,Zero,2xDay,"Grass, Suppliment",
00895,Cattle,Kamandura,Female,,Freshian,Milk,Dry,Purchase,Zero,2xDay,"Grass, Suppliment",
00896,Cattle,Mwai,Female,,Freshian,Milk,Dry,Purchase,Grazing,2xDay,"Grass, Suppliment",
00901,Cattle,Buster,Female,,Ayshire,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
00904,Cattle,July,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00911,Cattle,Valentine,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00917,Cattle,Suzzana,Female,,Freshian,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
00918,Cattle,Tintin,Female,,Freshian,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
00930,Cattle,Champion,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00934,Cattle,Papaya,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00935,Cattle,Butter,Female,,Freshian,Milk,Producing,Birth,Grazing,2xDay,"Grass, Suppliment",
00937,Cattle,Galaher,Female,,Ayshire,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
00939,Cattle,Gabriella,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00943,Cattle,Junior,Female,,Freshian,Milk,Dry,Birth,Zero,2xDay,"Grass, Suppliment",
00945,Cattle,Kendi,Female,,Freshian,Milk,Dry,Birth,Grazing,2xDay,"Grass, Suppliment",
00948,Cattle,Mwai,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00958,Cattle,Buster,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00960,Cattle,July,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00965,Cattle,Valentine,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00967,Cattle,Suzzana,Female,,Ayshire,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00972,Cattle,Tintin,Female,,Red Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00974,Cattle,Champion,Female,,Ayshire,Milk,Producing,Birth,Grazing,2xDay,"Grass, Suppliment",
00975,Cattle,Papaya,Female,,Freshian,Milk,Dry,Purchase,Zero,2xDay,"Grass, Suppliment",
00980,Cattle,Butter,Female,,Freshian,Milk,Dry,Purchase,Zero,2xDay,"Grass, Suppliment",
00991,Cattle,Galaher,Female,,Freshian,Milk,Dry,Purchase,Grazing,2xDay,"Grass, Suppliment",
00993,Cattle,Pamela,Female,,Ayshire,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
00994,Cattle,Justice,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00997,Cattle,Tele,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
01002,Cattle,Tomboy,Female,,Freshian,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
01014,Cattle,Mischief,Female,,Freshian,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
01015,Cattle,Jennifer,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
01019,Cattle,Junior,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
01026,Cattle,Jata,Female,,Freshian,Milk,Producing,Birth,Grazing,2xDay,"Grass, Suppliment",
01034,Cattle,Kamburu,Female,,Ayshire,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
01035,Cattle,Amo 34,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
01036,Cattle,Rark,Female,,Freshian,Milk,Dry,Birth,Zero,2xDay,"Grass, Suppliment",
