registrationid,dtype,e_version,givenname,photo,farm_location_farmid,gender,referenceanimaltype_animaltype_e_id,referenceanimaltype_siretype_e_id,purpose,dateofacquisition,acquisitiontype,identifyingfeatures,rearingmode,insurancenumber,dateofbirth,birthcertificatenumber,veterinarycertificatenumber,ministryid,insurancecompany,feedinghabit,feedtype,feedbrand,supplements,antibiotics,veterinary,awards,notes,farm_animals_farmid
,RegisteredAnimal,,Mary,,16,Female,,,Milk,,Purchase,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Dry,,,,
,RegisteredAnimal,,Tharuni ,,17,Female,,,Milk,,Purchase,,Grazing,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Dry,,,,
,RegisteredAnimal,,Rironi Kanini,,18,Female,,,Milk,,Purchase,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,Duma,,19,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,Bater,,20,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,Motho,,21,Female,,,Milk,,Purchase,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,Junior,,22,Female,,,Milk,,Purchase,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,Kamandura,,23,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,Mwai,,24,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,Buster,,25,Female,,,Milk,,Birth,,Grazing,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,26,Female,,,Milk,,Purchase,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,27,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,28,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Dry,,,,
,RegisteredAnimal,,,,29,Female,,,Milk,,Birth,,Grazing,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Dry,,,,
,RegisteredAnimal,,,,30,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,31,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,32,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,33,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,34,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,35,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,36,Female,,,Milk,,Birth,,Grazing,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,37,Female,,,Milk,,Purchase,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Dry,,,,
,RegisteredAnimal,,,,38,Female,,,Milk,,Purchase,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Dry,,,,
,RegisteredAnimal,,,,39,Female,,,Milk,,Purchase,,Grazing,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Dry,,,,
,RegisteredAnimal,,,,40,Female,,,Milk,,Purchase,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,41,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,42,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,43,Female,,,Milk,,Purchase,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,44,Female,,,Milk,,Purchase,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,45,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,46,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,47,Female,,,Milk,,Birth,,Grazing,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,48,Female,,,Milk,,Purchase,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,49,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,50,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Dry,,,,
,RegisteredAnimal,,,,51,Female,,,Milk,,Birth,,Grazing,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Dry,,,,
,RegisteredAnimal,,,,52,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,53,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,54,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,55,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,56,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,57,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,58,Female,,,Milk,,Birth,,Grazing,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,59,Female,,,Milk,,Purchase,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Dry,,,,
,RegisteredAnimal,,,,60,Female,,,Milk,,Purchase,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Dry,,,,
,RegisteredAnimal,,,,61,Female,,,Milk,,Purchase,,Grazing,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Dry,,,,
,RegisteredAnimal,,,,62,Female,,,Milk,,Purchase,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,63,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,64,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,65,Female,,,Milk,,Purchase,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,66,Female,,,Milk,,Purchase,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,67,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,68,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,69,Female,,,Milk,,Birth,,Grazing,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,70,Female,,,Milk,,Purchase,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,71,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,72,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Dry,,,,
,RegisteredAnimal,,,,73,Female,,,Milk,,Birth,,Grazing,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Dry,,,,
,RegisteredAnimal,,,,74,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,75,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,76,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,77,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,78,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,79,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,80,Female,,,Milk,,Birth,,Grazing,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,81,Female,,,Milk,,Purchase,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Dry,,,,
,RegisteredAnimal,,,,82,Female,,,Milk,,Purchase,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Dry,,,,
,RegisteredAnimal,,,,83,Female,,,Milk,,Purchase,,Grazing,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Dry,,,,
,RegisteredAnimal,,,,84,Female,,,Milk,,Purchase,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,85,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,86,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,87,Female,,,Milk,,Purchase,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,88,Female,,,Milk,,Purchase,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,89,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,90,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,91,Female,,,Milk,,Birth,,Grazing,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,92,Female,,,Milk,,Purchase,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,93,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,94,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Dry,,,,
,RegisteredAnimal,,,,95,Female,,,Milk,,Birth,,Grazing,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Dry,,,,
,RegisteredAnimal,,,,96,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,97,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,98,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,99,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,100,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,101,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,102,Female,,,Milk,,Birth,,Grazing,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,103,Female,,,Milk,,Purchase,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Dry,,,,
,RegisteredAnimal,,,,104,Female,,,Milk,,Purchase,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Dry,,,,
,RegisteredAnimal,,,,105,Female,,,Milk,,Purchase,,Grazing,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Dry,,,,
,RegisteredAnimal,,,,106,Female,,,Milk,,Purchase,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,107,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,108,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,109,Female,,,Milk,,Purchase,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,110,Female,,,Milk,,Purchase,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,111,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,112,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,113,Female,,,Milk,,Birth,,Grazing,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,114,Female,,,Milk,,Purchase,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,115,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,116,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Dry,,,,
,RegisteredAnimal,,,,117,Female,,,Milk,,Birth,,Grazing,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Dry,,,,
,RegisteredAnimal,,,,118,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,119,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,120,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,121,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,122,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,123,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,124,Female,,,Milk,,Birth,,Grazing,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,125,Female,,,Milk,,Purchase,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Dry,,,,
,RegisteredAnimal,,,,126,Female,,,Milk,,Purchase,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Dry,,,,
,RegisteredAnimal,,,,127,Female,,,Milk,,Purchase,,Grazing,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Dry,,,,
,RegisteredAnimal,,,,128,Female,,,Milk,,Purchase,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,129,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,130,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,131,Female,,,Milk,,Purchase,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,132,Female,,,Milk,,Purchase,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,133,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,134,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,135,Female,,,Milk,,Birth,,Grazing,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,136,Female,,,Milk,,Purchase,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,137,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,138,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Dry,,,,
,RegisteredAnimal,,,,139,Female,,,Milk,,Birth,,Grazing,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Dry,,,,
,RegisteredAnimal,,,,140,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,141,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,142,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,143,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,144,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,145,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,146,Female,,,Milk,,Birth,,Grazing,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,147,Female,,,Milk,,Purchase,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Dry,,,,
,RegisteredAnimal,,,,148,Female,,,Milk,,Purchase,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Dry,,,,
,RegisteredAnimal,,,,149,Female,,,Milk,,Purchase,,Grazing,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Dry,,,,
,RegisteredAnimal,,,,150,Female,,,Milk,,Purchase,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,151,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,152,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,153,Female,,,Milk,,Purchase,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,154,Female,,,Milk,,Purchase,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,155,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,156,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,157,Female,,,Milk,,Birth,,Grazing,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,158,Female,,,Milk,,Purchase,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,159,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,160,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Dry,,,,
,RegisteredAnimal,,,,161,Female,,,Milk,,Birth,,Grazing,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Dry,,,,
,RegisteredAnimal,,,,162,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,163,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,164,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,165,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,166,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,167,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,168,Female,,,Milk,,Birth,,Grazing,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,169,Female,,,Milk,,Purchase,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Dry,,,,
,RegisteredAnimal,,,,170,Female,,,Milk,,Purchase,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Dry,,,,
,RegisteredAnimal,,,,171,Female,,,Milk,,Purchase,,Grazing,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Dry,,,,
,RegisteredAnimal,,,,172,Female,,,Milk,,Purchase,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,173,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,174,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,175,Female,,,Milk,,Purchase,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,176,Female,,,Milk,,Purchase,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,177,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,178,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,179,Female,,,Milk,,Birth,,Grazing,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,180,Female,,,Milk,,Purchase,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,181,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,182,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Dry,,,,
,RegisteredAnimal,,,,183,Female,,,Milk,,Birth,,Grazing,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Dry,,,,
,RegisteredAnimal,,,,184,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,185,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,,,186,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
