Type,Date,Member Number,Class,Amount
Credit Sale,7/1/10,00650,Store Credit,956.00
Credit Sale,7/1/10,00655,Store Credit,"2,390.00"
Credit Sale,7/1/10,00655,Store Credit,120.00
Credit Sale,7/1/10,00687,Store Credit,"1,850.00"
Credit Sale,7/1/10,00710,Store Credit,"9,740.00"
Credit Sale,7/1/10,00757,Store Credit,"1,450.00"
Credit Sale,7/1/10,00766,Store Credit,"1,545.00"
Credit Sale,7/1/10,00768,Store Credit,"2,870.00"
Credit Sale,7/1/10,00778,Store Credit,"2,350.00"
Credit Sale,7/1/10,00837,Store Credit,"1,730.00"
Credit Sale,7/1/10,00861,Store Credit,"1,600.00"
Credit Sale,7/1/10,00913,Store Credit,"1,610.00"
Credit Sale,7/1/10,00934,Store Credit,"1,450.00"
Credit Sale,7/1/10,00942,Store Credit,"3,570.00"
Credit Sale,7/1/10,00995,Store Credit,"1,250.00"
Credit Sale,7/1/10,01012,Store Credit,"1,540.00"
Credit Sale,7/1/10,01022,Store Credit,"1,100.00"
Credit Sale,7/1/10,01026,Store Credit,"1,600.00"
Credit Sale,7/1/10,01056,Store Credit,"2,200.00"
Credit Sale,7/1/10,01060,Store Credit,"1,185.00"
Credit Sale,7/1/10,01111,Store Credit,"1,640.00"
Credit Sale,7/1/10,01118,Store Credit,"3,050.00"
Credit Sale,7/1/10,01144,Store Credit,"1,450.00"
Credit Sale,7/1/10,01152,Store Credit,"1,965.00"
Credit Sale,7/1/10,01159,Store Credit,"2,900.00"
Credit Sale,7/1/10,01167,Store Credit,"3,663.00"
Credit Sale,7/1/10,01226,Store Credit,"1,950.00"
Credit Sale,7/1/10,01259,Store Credit,"1,770.00"
Credit Sale,7/1/10,01288,Store Credit,"1,770.00"
Credit Sale,7/1/10,01295,Store Credit,400.00
Credit Sale,7/1/10,01324,Store Credit,350.00
Credit Sale,7/1/10,01327,Store Credit,"2,520.00"
Credit Sale,7/1/10,01345,Store Credit,645.00
Credit Sale,7/1/10,01349,Store Credit,"1,450.00"
Credit Sale,7/1/10,01364,Store Credit,"2,530.00"
Credit Sale,7/1/10,01385,Store Credit,"2,470.00"
Credit Sale,7/1/10,01413,Store Credit,"2,300.00"
Credit Sale,7/1/10,01421,Store Credit,400.00
Credit Sale,7/1/10,01421,Store Credit,"4,450.00"
Credit Sale,7/1/10,01502,Store Credit,"2,000.00"
Credit Sale,7/1/10,01516,Store Credit,400.00
Credit Sale,7/1/10,01519,Store Credit,"2,520.00"
Credit Sale,7/1/10,01520,Store Credit,193.00
Credit Sale,7/1/10,01523,Store Credit,"1,740.00"
Credit Sale,7/1/10,01528,Store Credit,"1,770.00"
Credit Sale,7/1/10,01529,Store Credit,"1,993.00"
Credit Sale,7/1/10,01529,Store Credit,"1,100.00"
Credit Sale,7/1/10,01550,Store Credit,"1,230.00"
Credit Sale,7/1/10,01562,Store Credit,"1,230.00"
Credit Sale,7/1/10,01589,Store Credit,"2,550.00"
Credit Sale,7/1/10,01612,Store Credit,"3,620.00"
Credit Sale,7/1/10,01619,Store Credit,"2,840.00"
Credit Sale,7/1/10,01626,Store Credit,"1,420.00"
Credit Sale,7/1/10,01699,Store Credit,"2,520.00"
Credit Sale,7/1/10,01728,Store Credit,"2,200.00"
Credit Sale,7/1/10,01732,AIServices,600.00
Credit Sale,7/1/10,01743,Store Credit,"3,970.00"
Credit Sale,7/1/10,01763,Store Credit,"1,420.00"
Credit Sale,7/1/10,01784,Store Credit,"1,970.00"
Credit Sale,7/1/10,01799,Store Credit,"1,250.00"
Credit Sale,7/1/10,01809,Store Credit,"2,500.00"
Credit Sale,7/1/10,01820,Store Credit,"2,393.00"
Credit Sale,7/1/10,01845,Store Credit,"1,100.00"
Credit Sale,7/1/10,01846,Store Credit,"2,850.00"
Credit Sale,7/1/10,01863,Store Credit,800.00
Credit Sale,7/1/10,01864,Store Credit,"4,670.00"
Credit Sale,7/1/10,01867,Store Credit,"5,320.00"
Credit Sale,7/1/10,01870,Clinical Services,800.00
Credit Sale,7/1/10,01883,AIServices,600.00
Credit Sale,7/1/10,01893,Store Credit,"3,140.00"
Credit Sale,7/1/10,01895,Store Credit,"1,420.00"
Credit Sale,7/1/10,01896,Store Credit,"1,135.00"
Credit Sale,7/1/10,01912,Store Credit,"1,100.00"
Credit Sale,7/1/10,01922,Store Credit,785.00
Credit Sale,7/1/10,01936,Store Credit,"1,420.00"
Credit Sale,7/1/10,01952,Store Credit,"4,028.00"
Credit Sale,7/1/10,01960,Store Credit,"1,420.00"
Credit Sale,7/1/10,01972,Store Credit,"1,600.00"
Credit Sale,7/1/10,01979,Store Credit,350.00
Credit Sale,7/1/10,01988,Store Credit,"1,579.00"
Credit Sale,7/1/10,01992,Store Credit,"4,260.00"
Credit Sale,7/1/10,01998,Store Credit,"4,320.00"
Credit Sale,7/1/10,02016,Store Credit,"1,420.00"
Credit Sale,7/1/10,02034,Store Credit,"1,250.00"
Credit Sale,7/1/10,02062,Store Credit,"2,065.00"
Credit Sale,7/1/10,02072,Store Credit,"1,420.00"
Credit Sale,7/1/10,02074,Store Credit,"1,430.00"
Credit Sale,7/1/10,02081,Store Credit,"1,400.00"
Credit Sale,7/1/10,02090,Store Credit,"1,250.00"
Credit Sale,7/1/10,02093,Store Credit,"2,550.00"
Credit Sale,7/1/10,02095,Store Credit,"1,450.00"
Credit Sale,7/1/10,02099,Store Credit,"1,874.00"
Credit Sale,7/1/10,02120,Store Credit,350.00
Credit Sale,7/1/10,02125,Store Credit,"1,100.00"
Credit Sale,7/1/10,02136,Store Credit,"3,620.00"
Credit Sale,7/1/10,02141,Store Credit,"2,649.00"
Credit Sale,7/1/10,02144,Store Credit,"1,420.00"
Credit Sale,7/1/10,02145,Store Credit,"2,115.00"
Credit Sale,7/1/10,02148,Store Credit,"1,450.00"
Credit Sale,7/1/10,02157,Store Credit,"1,600.00"
Credit Sale,7/1/10,02177,Store Credit,295.00
Credit Sale,7/1/10,02180,Store Credit,465.00
Credit Sale,7/1/10,02184,Store Credit,"1,800.00"
Credit Sale,7/1/10,02194,Store Credit,"1,420.00"
Credit Sale,7/1/10,02220,Store Credit,"2,649.00"
Credit Sale,7/1/10,02270,Store Credit,"2,350.00"
Credit Sale,7/1/10,02290,Store Credit,"2,120.00"
Credit Sale,7/1/10,02310,Store Credit,"2,800.00"
Credit Sale,7/1/10,02322,Store Credit,"1,450.00"
Credit Sale,7/1/10,02336,Store Credit,"1,670.00"
Credit Sale,7/1/10,02339,Store Credit,475.00
Credit Sale,7/1/10,02360,Store Credit,"1,420.00"
Credit Sale,7/1/10,02365,Store Credit,"2,150.00"
Credit Sale,7/1/10,02370,Store Credit,"1,190.00"
Credit Sale,7/1/10,02380,Store Credit,"3,750.00"
Credit Sale,7/1/10,02384,Store Credit,"1,380.00"
Credit Sale,7/1/10,02425,Store Credit,"1,640.00"
Credit Sale,7/1/10,02434,Store Credit,"4,450.00"
Credit Sale,7/1/10,02466,Store Credit,650.00
Credit Sale,7/1/10,02496,Store Credit,"3,870.00"
Credit Sale,7/1/10,02522,Store Credit,"1,250.00"
Credit Sale,7/1/10,02533,Store Credit,"1,250.00"
Credit Sale,7/1/10,02534,Store Credit,"1,250.00"
Credit Sale,7/1/10,02571,Store Credit,"1,420.00"
Credit Sale,7/1/10,02603,Store Credit,"1,420.00"
Credit Sale,7/1/10,02604,Store Credit,"3,060.00"
Credit Sale,7/1/10,02633,Store Credit,"1,929.00"
Credit Sale,7/1/10,02654,Store Credit,"2,900.00"
Credit Sale,7/1/10,02668,Store Credit,"2,650.00"
Credit Sale,7/1/10,02704,Store Credit,305.00
Credit Sale,7/1/10,02706,Store Credit,"2,550.00"
Credit Sale,7/1/10,02722,Store Credit,"1,420.00"
Credit Sale,7/1/10,02724,Store Credit,"4,810.00"
Credit Sale,7/1/10,02745,Store Credit,"1,770.00"
Credit Sale,7/1/10,02759,Store Credit,"2,205.00"
Credit Sale,7/1/10,02818,Store Credit,"1,600.00"
Credit Sale,7/1/10,02836,Store Credit,"1,420.00"
Credit Sale,7/1/10,02841,Store Credit,"2,083.00"
Credit Sale,7/1/10,02850,Store Credit,"3,555.00"
Credit Sale,7/1/10,02859,Store Credit,650.00
Credit Sale,7/1/10,02885,Store Credit,"1,100.00"
Credit Sale,7/1/10,02904,Store Credit,"2,845.00"
Credit Sale,7/1/10,02957,Store Credit,"6,295.00"
Credit Sale,7/1/10,02979,Store Credit,"2,510.00"
Credit Sale,7/1/10,02991,Store Credit,"2,650.00"
Credit Sale,7/1/10,02998,Store Credit,"1,540.00"
Credit Sale,7/1/10,02998,Store Credit,650.00
Credit Sale,7/1/10,02999,Store Credit,700.00
Credit Sale,7/1/10,03006,Store Credit,"1,100.00"
Credit Sale,7/1/10,03006,Store Credit,"5,830.00"
Credit Sale,7/1/10,03008,Store Credit,"2,350.00"
Credit Sale,7/1/10,03038,Store Credit,"1,600.00"
Credit Sale,7/1/10,03040,Store Credit,650.00
Credit Sale,7/1/10,03070,Store Credit,"2,500.00"
Credit Sale,7/1/10,03077,Store Credit,"1,670.00"
Credit Sale,7/1/10,03081,Store Credit,"1,100.00"
Credit Sale,7/1/10,03092,Store Credit,"1,420.00"
Credit Sale,7/1/10,03100,Store Credit,650.00
Credit Sale,7/1/10,03140,Store Credit,"1,420.00"
Credit Sale,7/1/10,03163,Store Credit,"1,670.00"
Credit Sale,7/1/10,03184,Store Credit,"1,715.00"
Credit Sale,7/2/10,00010,Store Credit,700.00
Credit Sale,7/2/10,00034,Store Credit,"6,640.00"
Credit Sale,7/2/10,00045,Store Credit,"8,240.00"
Credit Sale,7/2/10,00048,Store Credit,"2,350.00"
Credit Sale,7/2/10,00055,Store Credit,"1,745.00"
Credit Sale,7/2/10,00109,Clinical Services,"2,600.00"
Credit Sale,7/2/10,00203,Store Credit,"3,013.00"
Credit Sale,7/2/10,00299,Store Credit,"1,100.00"
Credit Sale,7/2/10,00305,Store Credit,"2,630.00"
Credit Sale,7/2/10,00318,Store Credit,"1,370.00"
Credit Sale,7/2/10,00329,Store Credit,"1,450.00"
Credit Sale,7/2/10,00329,Store Credit,295.00
Credit Sale,7/2/10,00374,Store Credit,"2,910.00"
Credit Sale,7/2/10,00393,Store Credit,"1,100.00"
Credit Sale,7/2/10,00407,Store Credit,"1,430.00"
Credit Sale,7/2/10,00415,Store Credit,295.00
Credit Sale,7/2/10,00554,Store Credit,"1,770.00"
Credit Sale,7/2/10,00577,Store Credit,"2,900.00"
Credit Sale,7/2/10,00585,Clinical Services,"3,800.00"
Credit Sale,7/2/10,00719,Store Credit,"1,715.00"
Credit Sale,7/2/10,00722,Store Credit,"1,600.00"
Credit Sale,7/2/10,00776,Store Credit,"3,540.00"
Credit Sale,7/2/10,00781,Store Credit,"1,524.00"
Credit Sale,7/2/10,01069,Store Credit,"2,350.00"
Credit Sale,7/2/10,01070,Store Credit,"1,800.00"
Credit Sale,7/2/10,01107,Store Credit,"2,936.00"
Credit Sale,7/2/10,01110,Store Credit,55.00
Credit Sale,7/2/10,01119,Store Credit,"1,600.00"
Credit Sale,7/2/10,01124,Clinical Services,500.00
Credit Sale,7/2/10,01247,Store Credit,"1,600.00"
Credit Sale,7/2/10,01251,Store Credit,"1,100.00"
Credit Sale,7/2/10,01262,Store Credit,618.00
Credit Sale,7/2/10,01282,Store Credit,"1,225.00"
Credit Sale,7/2/10,01342,Store Credit,"1,100.00"
Credit Sale,7/2/10,01493,Store Credit,"2,200.00"
Credit Sale,7/2/10,01505,Store Credit,480.00
Credit Sale,7/2/10,01559,Store Credit,130.00
Credit Sale,7/2/10,01642,Store Credit,350.00
Credit Sale,7/2/10,01694,Store Credit,"1,450.00"
Credit Sale,7/2/10,01712,Store Credit,"1,900.00"
Credit Sale,7/2/10,01720,Store Credit,"1,440.00"
Credit Sale,7/2/10,01795,Store Credit,"5,593.00"
Credit Sale,7/2/10,01817,Store Credit,350.00
Credit Sale,7/2/10,01870,Store Credit,"1,610.00"
Credit Sale,7/2/10,01905,Store Credit,"4,595.00"
Credit Sale,7/2/10,01915,Store Credit,915.00
Credit Sale,7/2/10,01973,Store Credit,"1,250.00"
Credit Sale,7/2/10,01975,Store Credit,650.00
Credit Sale,7/2/10,01995,Store Credit,"1,135.00"
Credit Sale,7/2/10,02000,Store Credit,"1,420.00"
Credit Sale,7/2/10,02018,Store Credit,"2,000.00"
Credit Sale,7/2/10,02030,Store Credit,"1,450.00"
Credit Sale,7/2/10,02046,Store Credit,"3,073.00"
Credit Sale,7/2/10,02049,Store Credit,"2,070.00"
Credit Sale,7/2/10,02058,Store Credit,"4,260.00"
Credit Sale,7/2/10,02075,Store Credit,"6,490.00"
Credit Sale,7/2/10,02092,Store Credit,"3,050.00"
Credit Sale,7/2/10,02161,Store Credit,"6,050.00"
Credit Sale,7/2/10,02213,Store Credit,405.00
Credit Sale,7/2/10,02237,Store Credit,715.00
Credit Sale,7/2/10,02298,Store Credit,"2,670.00"
Credit Sale,7/2/10,02369,Store Credit,"1,135.00"
Credit Sale,7/2/10,02384,Store Credit,170.00
Credit Sale,7/2/10,02454,Store Credit,"1,524.00"
Credit Sale,7/2/10,02490,Store Credit,"4,378.00"
Credit Sale,7/2/10,02712,Store Credit,"1,770.00"
Credit Sale,7/2/10,02743,Store Credit,"1,400.00"
Credit Sale,7/2/10,02745,Store Credit,295.00
Credit Sale,7/2/10,02776,Store Credit,"2,840.00"
Credit Sale,7/2/10,02782,Store Credit,"2,165.00"
Credit Sale,7/2/10,02846,Store Credit,520.00
Credit Sale,7/2/10,02882,Store Credit,"5,660.00"
Credit Sale,7/2/10,02883,AIServices,600.00
Credit Sale,7/2/10,02893,Store Credit,"1,420.00"
Credit Sale,7/2/10,02895,Store Credit,250.00
Credit Sale,7/2/10,02935,Store Credit,"1,615.00"
Credit Sale,7/2/10,02946,Store Credit,"2,520.00"
Credit Sale,7/2/10,02992,Store Credit,"1,250.00"
Credit Sale,7/2/10,03086,Store Credit,"1,250.00"
Credit Sale,7/2/10,03148,Store Credit,"1,715.00"
Credit Sale,7/2/10,03188,Store Credit,"2,070.00"
Credit Sale,7/2/10,03188,Clinical Services,"1,700.00"
Credit Sale,03.07.2010,00029,Clinical Services,750.00
Credit Sale,03.07.2010,00198,Store Credit,"2,050.00"
Credit Sale,03.07.2010,00298,Store Credit,350.00
Credit Sale,03.07.2010,00318,AIServices,"1,500.00"
Credit Sale,03.07.2010,00380,Store Credit,218.00
Credit Sale,03.07.2010,00423,Store Credit,"1,100.00"
Credit Sale,03.07.2010,00428,Store Credit,"1,100.00"
Credit Sale,03.07.2010,00794,Store Credit,"1,770.00"
Credit Sale,03.07.2010,00882,Store Credit,"2,050.00"
Credit Sale,03.07.2010,00941,Store Credit,"1,100.00"
Credit Sale,03.07.2010,00941,AIServices,600.00
Credit Sale,03.07.2010,01044,Store Credit,"2,500.00"
Credit Sale,03.07.2010,01107,Store Credit,650.00
Credit Sale,03.07.2010,01161,Store Credit,"2,868.00"
Credit Sale,03.07.2010,01265,Store Credit,"1,420.00"
Credit Sale,03.07.2010,01274,Store Credit,"2,090.00"
Credit Sale,03.07.2010,01343,Store Credit,"1,420.00"
Credit Sale,03.07.2010,01464,Store Credit,"3,300.00"
Credit Sale,03.07.2010,01549,Store Credit,"1,450.00"
Credit Sale,03.07.2010,01596,Store Credit,"1,950.00"
Credit Sale,03.07.2010,01599,Store Credit,"2,713.00"
Credit Sale,03.07.2010,01686,Store Credit,130.00
Credit Sale,03.07.2010,01720,Store Credit,230.00
Credit Sale,03.07.2010,01740,Store Credit,"1,250.00"
Credit Sale,03.07.2010,01827,Store Credit,645.00
Credit Sale,03.07.2010,01850,Store Credit,"1,250.00"
Credit Sale,03.07.2010,01859,Store Credit,"1,770.00"
Credit Sale,03.07.2010,01956,Store Credit,295.00
Credit Sale,03.07.2010,01962,Store Credit,"1,420.00"
Credit Sale,03.07.2010,02018,Store Credit,"1,750.00"
Credit Sale,03.07.2010,02021,Store Credit,295.00
Credit Sale,03.07.2010,02048,Store Credit,"1,250.00"
Credit Sale,03.07.2010,02073,Store Credit,"1,420.00"
Credit Sale,03.07.2010,02077,Store Credit,"1,545.00"
Credit Sale,03.07.2010,02104,Store Credit,785.00
Credit Sale,03.07.2010,02161,Clinical Services,"3,100.00"
Credit Sale,03.07.2010,02170,Store Credit,"1,450.00"
Credit Sale,03.07.2010,02221,Store Credit,"1,190.00"
Credit Sale,03.07.2010,02276,Store Credit,"3,190.00"
Credit Sale,03.07.2010,02277,Store Credit,"1,570.00"
Credit Sale,03.07.2010,02306,Store Credit,"1,360.00"
Credit Sale,03.07.2010,02311,Store Credit,"1,530.00"
Credit Sale,03.07.2010,02540,Store Credit,"1,770.00"
Credit Sale,03.07.2010,02671,Store Credit,"1,100.00"
Credit Sale,03.07.2010,02722,Store Credit,350.00
Credit Sale,03.07.2010,02795,Store Credit,785.00
Credit Sale,03.07.2010,02795,Store Credit,"1,085.00"
Credit Sale,03.07.2010,02859,Store Credit,470.00
Credit Sale,03.07.2010,02911,Store Credit,"5,120.00"
Credit Sale,03.07.2010,02998,Store Credit,"1,190.00"
Credit Sale,03.07.2010,02999,Store Credit,"2,200.00"
Credit Sale,03.07.2010,03143,Store Credit,"2,500.00"
Credit Sale,03.07.2010,03149,Store Credit,"1,250.00"
Credit Sale,03.07.2010,03165,Store Credit,"1,620.00"
Credit Sale,04.07.2010,00454,Store Credit,"1,100.00"
Credit Sale,04.07.2010,00635,Store Credit,130.00
Credit Sale,04.07.2010,00863,Store Credit,"2,900.00"
Credit Sale,04.07.2010,00998,Store Credit,"1,320.00"
Credit Sale,04.07.2010,01011,Store Credit,270.00
Credit Sale,04.07.2010,01489,Store Credit,350.00
Credit Sale,04.07.2010,01510,Store Credit,"1,590.00"
Credit Sale,04.07.2010,01889,Store Credit,785.00
Credit Sale,04.07.2010,01961,Store Credit,785.00
Credit Sale,04.07.2010,02411,Store Credit,"1,420.00"
Credit Sale,04.07.2010,02583,AIServices,600.00
Credit Sale,04.07.2010,02619,Store Credit,"1,420.00"
Credit Sale,04.07.2010,02626,Store Credit,350.00
Credit Sale,04.07.2010,02664,Store Credit,"1,190.00"
Credit Sale,04.07.2010,02876,Clinical Services,"1,100.00"
Credit Sale,04.07.2010,02885,Store Credit,130.00
Credit Sale,05.07.2010,00085,Store Credit,"1,280.00"
Credit Sale,05.07.2010,00189,Store Credit,"1,500.00"
Credit Sale,05.07.2010,00302,Store Credit,"1,545.00"
Credit Sale,05.07.2010,00453,Store Credit,"1,890.00"
Credit Sale,05.07.2010,00504,Store Credit,"1,500.00"
Credit Sale,05.07.2010,00648,Store Credit,"1,900.00"
Credit Sale,05.07.2010,00700,Store Credit,"1,680.00"
Credit Sale,05.07.2010,00706,Store Credit,"3,055.00"
Credit Sale,05.07.2010,00772,Store Credit,"1,820.00"
Credit Sale,05.07.2010,01022,Store Credit,193.00
Credit Sale,05.07.2010,01024,Store Credit,"3,200.00"
Credit Sale,05.07.2010,01073,Store Credit,785.00
Credit Sale,05.07.2010,01108,Store Credit,350.00
Credit Sale,05.07.2010,01124,Clinical Services,"2,000.00"
Credit Sale,05.07.2010,01165,Store Credit,436.00
Credit Sale,05.07.2010,01291,Store Credit,"1,100.00"
Credit Sale,05.07.2010,01320,Store Credit,"1,100.00"
Credit Sale,05.07.2010,01386,AIServices,600.00
Credit Sale,05.07.2010,01402,AIServices,"1,500.00"
Credit Sale,05.07.2010,01661,Store Credit,"1,420.00"
Credit Sale,05.07.2010,01737,Store Credit,193.00
Credit Sale,05.07.2010,01775,Store Credit,"1,100.00"
Credit Sale,05.07.2010,01775,Store Credit,350.00
Credit Sale,05.07.2010,01778,Store Credit,"1,379.00"
Credit Sale,05.07.2010,01939,Store Credit,635.00
Credit Sale,05.07.2010,01950,Store Credit,400.00
Credit Sale,05.07.2010,01956,Store Credit,350.00
Credit Sale,05.07.2010,01959,Store Credit,"1,420.00"
Credit Sale,05.07.2010,01994,Store Credit,"6,540.00"
Credit Sale,05.07.2010,02171,Store Credit,"1,100.00"
Credit Sale,05.07.2010,02226,Store Credit,"1,420.00"
Credit Sale,05.07.2010,02277,Store Credit,218.00
Credit Sale,05.07.2010,02380,Store Credit,"3,750.00"
Credit Sale,05.07.2010,02435,Store Credit,350.00
Credit Sale,05.07.2010,02596,Store Credit,"1,100.00"
Credit Sale,05.07.2010,02651,Store Credit,"1,395.00"
Credit Sale,05.07.2010,02821,Store Credit,"1,100.00"
Credit Sale,05.07.2010,02892,Store Credit,"7,285.00"
Credit Sale,05.07.2010,02952,Store Credit,"2,125.00"
Credit Sale,05.07.2010,03056,Store Credit,295.00
Credit Sale,05.07.2010,03140,Store Credit,785.00
Credit Sale,05.07.2010,03150,Store Credit,"1,250.00"
Credit Sale,05.07.2010,03175,Store Credit,120.00
Credit Sale,06.07.2010,00045,AIServices,"1,500.00"
Credit Sale,06.07.2010,00160,AIServices,"1,500.00"
Credit Sale,06.07.2010,00440,Store Credit,424.00
Credit Sale,06.07.2010,00547,Store Credit,495.00
Credit Sale,06.07.2010,01124,AIServices,"3,000.00"
Credit Sale,06.07.2010,01451,Store Credit,129.00
Credit Sale,06.07.2010,01704,Store Credit,400.00
Credit Sale,06.07.2010,01744,Store Credit,"3,540.00"
Credit Sale,06.07.2010,01770,Store Credit,"1,100.00"
Credit Sale,06.07.2010,01864,AIServices,"1,500.00"
Credit Sale,06.07.2010,02035,Store Credit,"1,500.00"
Credit Sale,06.07.2010,02078,Store Credit,"1,100.00"
Credit Sale,06.07.2010,02081,Clinical Services,600.00
Credit Sale,06.07.2010,02081,Clinical Services,"1,200.00"
Credit Sale,06.07.2010,02272,Store Credit,995.00
Credit Sale,06.07.2010,02364,Store Credit,"1,490.00"
Credit Sale,06.07.2010,02589,Clinical Services,"1,100.00"
Credit Sale,06.07.2010,02634,Store Credit,120.00
Credit Sale,06.07.2010,02855,Store Credit,300.00
Credit Sale,06.07.2010,02899,Store Credit,350.00
Credit Sale,06.07.2010,02911,Clinical Services,"1,300.00"
Credit Sale,06.07.2010,02961,Store Credit,"1,250.00"
Credit Sale,06.07.2010,03078,Store Credit,"1,100.00"
Credit Sale,06.07.2010,03086,Store Credit,"1,443.00"
Credit Sale,06.07.2010,03092,Store Credit,350.00
Credit Sale,07.07.2010,00195,Store Credit,"1,579.00"
Credit Sale,07.07.2010,00428,Store Credit,700.00
Credit Sale,07.07.2010,00486,Store Credit,190.00
Credit Sale,07.07.2010,01030,Store Credit,"1,100.00"
Credit Sale,07.07.2010,01310,Store Credit,"2,500.00"
Credit Sale,07.07.2010,01342,Store Credit,"1,100.00"
Credit Sale,07.07.2010,01385,AIServices,600.00
Credit Sale,07.07.2010,01516,Store Credit,800.00
Credit Sale,07.07.2010,01520,Store Credit,845.00
Credit Sale,07.07.2010,01580,Store Credit,"1,800.00"
Credit Sale,07.07.2010,01580,Store Credit,185.00
Credit Sale,07.07.2010,01619,Store Credit,785.00
Credit Sale,07.07.2010,01621,Store Credit,130.00
Credit Sale,07.07.2010,01639,Store Credit,785.00
Credit Sale,07.07.2010,01695,Store Credit,785.00
Credit Sale,07.07.2010,01732,Store Credit,270.00
Credit Sale,07.07.2010,01749,Store Credit,"1,850.00"
Credit Sale,07.07.2010,01784,Store Credit,"1,610.00"
Credit Sale,07.07.2010,01867,Store Credit,300.00
Credit Sale,07.07.2010,01885,Store Credit,785.00
Credit Sale,07.07.2010,01905,Store Credit,700.00
Credit Sale,07.07.2010,02018,Clinical Services,"1,300.00"
Credit Sale,07.07.2010,02062,Store Credit,193.00
Credit Sale,07.07.2010,02177,Store Credit,"1,420.00"
Credit Sale,07.07.2010,02300,Store Credit,"1,390.00"
Credit Sale,07.07.2010,02338,Store Credit,"1,420.00"
Credit Sale,07.07.2010,02434,Store Credit,295.00
Credit Sale,07.07.2010,02619,Store Credit,190.00
Credit Sale,07.07.2010,02633,Store Credit,"3,050.00"
Credit Sale,07.07.2010,02808,Store Credit,295.00
Credit Sale,07.07.2010,02870,Store Credit,120.00
Credit Sale,07.07.2010,02892,Store Credit,400.00
Credit Sale,07.07.2010,02895,Store Credit,490.00
Credit Sale,07.07.2010,02943,Store Credit,"1,950.00"
Credit Sale,07.07.2010,03006,Store Credit,"2,355.00"
Credit Sale,07.07.2010,03006,Clinical Services,500.00
Credit Sale,07.07.2010,03048,Store Credit,350.00
Credit Sale,07.07.2010,03061,Store Credit,"1,500.00"
Credit Sale,07.07.2010,03071,Store Credit,"2,200.00"
Credit Sale,08.07.2010,00002,Clinical Services,"1,200.00"
Credit Sale,08.07.2010,00002,AIServices,"1,500.00"
Credit Sale,08.07.2010,00045,Store Credit,"2,360.00"
Credit Sale,08.07.2010,00234,Store Credit,120.00
Credit Sale,08.07.2010,00236,Store Credit,400.00
Credit Sale,08.07.2010,00236,Store Credit,350.00
Credit Sale,08.07.2010,00318,Store Credit,"3,020.00"
Credit Sale,08.07.2010,00434,AIServices,"1,000.00"
Credit Sale,08.07.2010,00440,Store Credit,350.00
Credit Sale,08.07.2010,00499,Clinical Services,800.00
Credit Sale,08.07.2010,00585,AIServices,600.00
Credit Sale,7/8/10,00643,AIServices,600.00
Credit Sale,7/8/10,00751,Store Credit,"1,370.00"
Credit Sale,08.07.2010,00844,Store Credit,"1,500.00"
Credit Sale,08.07.2010,00913,AIServices,600.00
Credit Sale,08.07.2010,01167,Store Credit,800.00
Credit Sale,08.07.2010,01252,Store Credit,950.00
Credit Sale,08.07.2010,01254,Store Credit,400.00
Credit Sale,08.07.2010,01495,AIServices,600.00
Credit Sale,08.07.2010,01556,AIServices,"1,000.00"
Credit Sale,08.07.2010,01698,Store Credit,350.00
Credit Sale,08.07.2010,01752,Store Credit,218.00
