Type,Date,Member Number,Class,Route,Amount,,
Credit Sale,01.07.2010,01026,Store Credit,R002,"1,600.00",,
Credit Sale,01.07.2010,01056,Store Credit,R011,"2,200.00",,
Credit Sale,01.07.2010,01060,Store Credit,R028,"1,185.00",,
Credit Sale,01.07.2010,01111,Store Credit,R016,"1,640.00",,
Credit Sale,01.07.2010,01118,Store Credit,R002,"3,050.00",,
Credit Sale,01.07.2010,01144,Store Credit,R002,"1,450.00",,
Credit Sale,01.07.2010,01152,Store Credit,R009,"1,965.00",,
Credit Sale,01.07.2010,01159,Store Credit,R002,"2,900.00",,
Credit Sale,01.07.2010,01167,Store Credit,R001,"3,663.00",,
Credit Sale,01.07.2010,01226,Store Credit,R002,"1,950.00",,
Credit Sale,01.07.2010,01259,Store Credit,R016,"1,770.00",,
Credit Sale,01.07.2010,01288,Store Credit,R016,"1,770.00",,
Credit Sale,01.07.2010,01295,Store Credit,R003,400.00,,
Credit Sale,01.07.2010,01324,Store Credit,R017,350.00,,
Credit Sale,01.07.2010,01327,Store Credit,R017,"2,520.00",,
Credit Sale,01.07.2010,01345,Store Credit,R004,645.00,,
Credit Sale,01.07.2010,01349,Store Credit,R016,"1,450.00",,
Credit Sale,01.07.2010,01364,Store Credit,R002,"2,530.00",,
Credit Sale,01.07.2010,01385,Store Credit,R002,"2,470.00",,
Credit Sale,01.07.2010,01413,Store Credit,R002,"2,300.00",,
Credit Sale,01.07.2010,01421,Store Credit,R009,400.00,,
Credit Sale,01.07.2010,01421,Store Credit,R009,"4,450.00",,
Credit Sale,01.07.2010,01502,Store Credit,R005,"2,000.00",,
Credit Sale,01.07.2010,01516,Store Credit,R003,400.00,,
Credit Sale,01.07.2010,01519,Store Credit,R004,"2,520.00",,
Credit Sale,01.07.2010,01520,Store Credit,R009,193.00,,
Credit Sale,01.07.2010,01523,Store Credit,R006,"1,740.00",,
Credit Sale,01.07.2010,01528,Store Credit,R004,"1,770.00",,
Credit Sale,01.07.2010,01529,Store Credit,R002,"1,993.00",,
Credit Sale,01.07.2010,01529,Store Credit,R002,"1,100.00",,
Credit Sale,01.07.2010,01550,Store Credit,R017,"1,230.00",,
Credit Sale,01.07.2010,01562,Store Credit,R017,"1,230.00",,
Credit Sale,01.07.2010,01589,Store Credit,R017,"2,550.00",,
Credit Sale,01.07.2010,01612,Store Credit,R002,"3,620.00",,
Credit Sale,01.07.2010,01619,Store Credit,R017,"2,840.00",,
Credit Sale,01.07.2010,01626,Store Credit,R016,"1,420.00",,
Credit Sale,01.07.2010,01699,Store Credit,R011,"2,520.00",,
Credit Sale,01.07.2010,01728,Store Credit,R002,"2,200.00",,
Credit Sale,01.07.2010,01732,AIServices,,600.00,,
Credit Sale,01.07.2010,01743,Store Credit,R002,"3,970.00",,
Credit Sale,01.07.2010,01763,Store Credit,R004,"1,420.00",,
Credit Sale,01.07.2010,01784,Store Credit,R005,"1,970.00",,
Credit Sale,01.07.2010,01799,Store Credit,R006,"1,250.00",,
Credit Sale,01.07.2010,01809,Store Credit,R002,"2,500.00",,
Credit Sale,01.07.2010,01820,Store Credit,R011,"2,393.00",,
Credit Sale,01.07.2010,01845,Store Credit,R006,"1,100.00",,
Credit Sale,01.07.2010,01846,Store Credit,R002,"2,850.00",,
Credit Sale,01.07.2010,01863,Store Credit,R002,800.00,,
Credit Sale,01.07.2010,01864,Store Credit,R002,"4,670.00",,
Credit Sale,01.07.2010,01867,Store Credit,R002,"5,320.00",,
Credit Sale,01.07.2010,01870,Clinical Services,,800.00,,
Credit Sale,01.07.2010,01883,AIServices,,600.00,,
Credit Sale,01.07.2010,01893,Store Credit,R007,"3,140.00",,
Credit Sale,01.07.2010,01895,Store Credit,R011,"1,420.00",,
Credit Sale,01.07.2010,01896,Store Credit,R028,"1,135.00",,
Credit Sale,01.07.2010,01912,Store Credit,R002,"1,100.00",,
Credit Sale,01.07.2010,01922,Store Credit,R028,785.00,,
Credit Sale,01.07.2010,01936,Store Credit,R017,"1,420.00",,
Credit Sale,01.07.2010,01952,Store Credit,R007,"4,028.00",,
Credit Sale,01.07.2010,01960,Store Credit,R016,"1,420.00",,
Credit Sale,01.07.2010,01972,Store Credit,R002,"1,600.00",,
Credit Sale,01.07.2010,01979,Store Credit,R017,350.00,,
Credit Sale,01.07.2010,01988,Store Credit,R002,"1,579.00",,
Credit Sale,01.07.2010,01992,Store Credit,R001,"4,260.00",,
Credit Sale,01.07.2010,01998,Store Credit,R006,"4,320.00",,
Credit Sale,01.07.2010,02016,Store Credit,R016,"1,420.00",,
Credit Sale,01.07.2010,02034,Store Credit,R006,"1,250.00",,
Credit Sale,01.07.2010,02062,Store Credit,R007,"2,065.00",,
Credit Sale,01.07.2010,02072,Store Credit,R011,"1,420.00",,
Credit Sale,01.07.2010,02074,Store Credit,R002,"1,430.00",,
Credit Sale,01.07.2010,02081,Store Credit,R016,"1,400.00",,
Credit Sale,01.07.2010,02090,Store Credit,R002,"1,250.00",,
Credit Sale,01.07.2010,02093,Store Credit,R017,"2,550.00",,
Credit Sale,01.07.2010,02095,Store Credit,R017,"1,450.00",,
Credit Sale,01.07.2010,02099,Store Credit,R010,"1,874.00",,
Credit Sale,01.07.2010,02120,Store Credit,R022,350.00,,
Credit Sale,01.07.2010,02125,Store Credit,R009,"1,100.00",,
Credit Sale,01.07.2010,02136,Store Credit,R011,"3,620.00",,
Credit Sale,01.07.2010,02141,Store Credit,R002,"2,649.00",,
Credit Sale,01.07.2010,02144,Store Credit,R028,"1,420.00",,
Credit Sale,01.07.2010,02145,Store Credit,R001,"2,115.00",,
Credit Sale,01.07.2010,02148,Store Credit,R022,"1,450.00",,
Credit Sale,01.07.2010,02157,Store Credit,R006,"1,600.00",,
Credit Sale,01.07.2010,02177,Store Credit,R016,295.00,,
Credit Sale,01.07.2010,02180,Store Credit,R005,465.00,,
Credit Sale,01.07.2010,02184,Store Credit,R017,"1,800.00",,
Credit Sale,01.07.2010,02194,Store Credit,R028,"1,420.00",,
Credit Sale,01.07.2010,02220,Store Credit,R022,"2,649.00",,
Credit Sale,01.07.2010,02270,Store Credit,R009,"2,350.00",,
Credit Sale,01.07.2010,02290,Store Credit,R022,"2,120.00",,
Credit Sale,01.07.2010,02310,Store Credit,R002,"2,800.00",,
Credit Sale,01.07.2010,02322,Store Credit,R016,"1,450.00",,
Credit Sale,01.07.2010,02336,Store Credit,R019,"1,670.00",,
Credit Sale,01.07.2010,02339,Store Credit,R002,475.00,,
Credit Sale,01.07.2010,02360,Store Credit,R004,"1,420.00",,
Credit Sale,01.07.2010,02365,Store Credit,R002,"2,150.00",,
Credit Sale,01.07.2010,02370,Store Credit,R019,"1,190.00",,
Credit Sale,01.07.2010,02380,Store Credit,R002,"3,750.00",,
Credit Sale,01.07.2010,02384,Store Credit,R019,"1,380.00",,
Credit Sale,01.07.2010,02425,Store Credit,R017,"1,640.00",,
Credit Sale,01.07.2010,02434,Store Credit,R001,"4,450.00",,
Credit Sale,01.07.2010,02466,Store Credit,R022,650.00,,
Credit Sale,01.07.2010,02496,Store Credit,R019,"3,870.00",,
Credit Sale,01.07.2010,02522,Store Credit,R009,"1,250.00",,
Credit Sale,01.07.2010,02533,Store Credit,R007,"1,250.00",,
Credit Sale,01.07.2010,02534,Store Credit,R002,"1,250.00",,
Credit Sale,01.07.2010,02571,Store Credit,R004,"1,420.00",,
Credit Sale,01.07.2010,02603,Store Credit,R028,"1,420.00",,
Credit Sale,01.07.2010,02604,Store Credit,R003,"3,060.00",,
Credit Sale,01.07.2010,02633,Store Credit,R017,"1,929.00",,
Credit Sale,01.07.2010,02654,Store Credit,R002,"2,900.00",,
Credit Sale,01.07.2010,02668,Store Credit,R006,"2,650.00",,
Credit Sale,01.07.2010,02704,Store Credit,R020,305.00,,
Credit Sale,01.07.2010,02706,Store Credit,R002,"2,550.00",,
Credit Sale,01.07.2010,02722,Store Credit,R028,"1,420.00",,
Credit Sale,01.07.2010,02724,Store Credit,R001,"4,810.00",,
Credit Sale,01.07.2010,02745,Store Credit,R028,"1,770.00",,
Credit Sale,01.07.2010,02759,Store Credit,R012,"2,205.00",,
Credit Sale,01.07.2010,02818,Store Credit,R002,"1,600.00",,
Credit Sale,01.07.2010,02836,Store Credit,R028,"1,420.00",,
Credit Sale,01.07.2010,02841,Store Credit,R001,"2,083.00",,
Credit Sale,01.07.2010,02850,Store Credit,R001,"3,555.00",,
Credit Sale,01.07.2010,02859,Store Credit,R009,650.00,,
Credit Sale,01.07.2010,02885,Store Credit,R017,"1,100.00",,
Credit Sale,01.07.2010,02904,Store Credit,R002,"2,845.00",,
Credit Sale,01.07.2010,02957,Store Credit,R019,"6,295.00",,
Credit Sale,01.07.2010,02979,Store Credit,R019,"2,510.00",,
Credit Sale,01.07.2010,02991,Store Credit,R011,"2,650.00",,
Credit Sale,01.07.2010,02998,Store Credit,R019,"1,540.00",,
Credit Sale,01.07.2010,02998,Store Credit,R019,650.00,,
Credit Sale,01.07.2010,02999,Store Credit,R001,700.00,,
Credit Sale,01.07.2010,03006,Store Credit,R017,"1,100.00",,
Credit Sale,01.07.2010,03006,Store Credit,R017,"5,830.00",,
Credit Sale,01.07.2010,03008,Store Credit,R006,"2,350.00",,
Credit Sale,01.07.2010,03038,Store Credit,R019,"1,600.00",,
Credit Sale,01.07.2010,03040,Store Credit,R010,650.00,,
Credit Sale,01.07.2010,03070,Store Credit,R002,"2,500.00",,
Credit Sale,01.07.2010,03077,Store Credit,R019,"1,670.00",,
Credit Sale,01.07.2010,03081,Store Credit,R011,"1,100.00",,
Credit Sale,01.07.2010,03092,Store Credit,R004,"1,420.00",,
Credit Sale,01.07.2010,03100,Store Credit,R009,650.00,,
Credit Sale,01.07.2010,03140,Store Credit,R028,"1,420.00",,
Credit Sale,01.07.2010,03163,Store Credit,R019,"1,670.00",,
Credit Sale,01.07.2010,03184,Store Credit,R015,"1,715.00",,
Credit Sale,02.07.2010,00010,Store Credit,R009,700.00,,
Credit Sale,02.07.2010,00034,Store Credit,R001,"6,640.00",,
Credit Sale,02.07.2010,00045,Store Credit,R014,"8,240.00",,
Credit Sale,02.07.2010,00048,Store Credit,R002,"2,350.00",,
Credit Sale,02.07.2010,00055,Store Credit,R009,"1,745.00",,
Credit Sale,02.07.2010,00109,Clinical Services,,"2,600.00",,
Credit Sale,02.07.2010,00203,Store Credit,R014,"3,013.00",,
Credit Sale,02.07.2010,00299,Store Credit,R002,"1,100.00",,
Credit Sale,02.07.2010,00305,Store Credit,R002,"2,630.00",,
Credit Sale,02.07.2010,00318,Store Credit,R023,"1,370.00",,
Credit Sale,02.07.2010,00329,Store Credit,R002,"1,450.00",,
Credit Sale,02.07.2010,00329,Store Credit,R002,295.00,,
Credit Sale,02.07.2010,00374,Store Credit,R001,"2,910.00",,
Credit Sale,02.07.2010,00393,Store Credit,R009,"1,100.00",,
Credit Sale,02.07.2010,00407,Store Credit,R028,"1,430.00",,
Credit Sale,02.07.2010,00415,Store Credit,R014,295.00,,
Credit Sale,02.07.2010,00554,Store Credit,R016,"1,770.00",,
Credit Sale,02.07.2010,00577,Store Credit,R002,"2,900.00",,
Credit Sale,02.07.2010,00585,Clinical Services,,"3,800.00",,
Credit Sale,02.07.2010,00719,Store Credit,R017,"1,715.00",,
Credit Sale,02.07.2010,00722,Store Credit,R002,"1,600.00",,
Credit Sale,02.07.2010,00776,Store Credit,R001,"3,540.00",,
Credit Sale,02.07.2010,00781,Store Credit,R006,"1,524.00",,
Credit Sale,02.07.2010,01069,Store Credit,R002,"2,350.00",,
Credit Sale,02.07.2010,01070,Store Credit,R002,"1,800.00",,
Credit Sale,02.07.2010,01107,Store Credit,R002,"2,936.00",,
Credit Sale,02.07.2010,01110,Store Credit,R003,55.00,,
Credit Sale,02.07.2010,01119,Store Credit,R002,"1,600.00",,
Credit Sale,02.07.2010,01124,Clinical Services,,500.00,,
Credit Sale,02.07.2010,01247,Store Credit,R002,"1,600.00",,
Credit Sale,02.07.2010,01251,Store Credit,R017,"1,100.00",,
Credit Sale,02.07.2010,01262,Store Credit,R001,618.00,,
Credit Sale,02.07.2010,01282,Store Credit,R023,"1,225.00",,
Credit Sale,02.07.2010,01342,Store Credit,R017,"1,100.00",,
Credit Sale,02.07.2010,01493,Store Credit,R009,"2,200.00",,
Credit Sale,02.07.2010,01505,Store Credit,R004,480.00,,
Credit Sale,02.07.2010,01559,Store Credit,R006,130.00,,
Credit Sale,02.07.2010,01642,Store Credit,R004,350.00,,
Credit Sale,02.07.2010,01694,Store Credit,R017,"1,450.00",,
Credit Sale,02.07.2010,01712,Store Credit,R001,"1,900.00",,
Credit Sale,02.07.2010,01720,Store Credit,R009,"1,440.00",,
Credit Sale,02.07.2010,01795,Store Credit,R002,"5,593.00",,
Credit Sale,02.07.2010,01817,Store Credit,R017,350.00,,
Credit Sale,02.07.2010,01870,Store Credit,R016,"1,610.00",,
Credit Sale,02.07.2010,01905,Store Credit,R001,"4,595.00",,
Credit Sale,02.07.2010,01915,Store Credit,R012,915.00,,
Credit Sale,02.07.2010,01973,Store Credit,R002,"1,250.00",,
Credit Sale,02.07.2010,01975,Store Credit,R028,650.00,,
Credit Sale,02.07.2010,01995,Store Credit,R028,"1,135.00",,
Credit Sale,02.07.2010,02000,Store Credit,R004,"1,420.00",,
Credit Sale,02.07.2010,02018,Store Credit,R001,"2,000.00",,
Credit Sale,02.07.2010,02030,Store Credit,R004,"1,450.00",,
Credit Sale,02.07.2010,02046,Store Credit,R002,"3,073.00",,
Credit Sale,02.07.2010,02049,Store Credit,R028,"2,070.00",,
Credit Sale,02.07.2010,02058,Store Credit,R013,"4,260.00",,
Credit Sale,02.07.2010,02075,Store Credit,R001,"6,490.00",,
Credit Sale,02.07.2010,02092,Store Credit,R002,"3,050.00",,
Credit Sale,02.07.2010,02161,Store Credit,R002,"6,050.00",,
Credit Sale,02.07.2010,02213,Store Credit,R002,405.00,,
Credit Sale,02.07.2010,02237,Store Credit,R016,715.00,,
Credit Sale,02.07.2010,02298,Store Credit,R013,"2,670.00",,
Credit Sale,02.07.2010,02369,Store Credit,R028,"1,135.00",,
Credit Sale,02.07.2010,02384,Store Credit,R019,170.00,,
Credit Sale,02.07.2010,02454,Store Credit,R013,"1,524.00",,
Credit Sale,02.07.2010,02490,Store Credit,R028,"4,378.00",,
Credit Sale,02.07.2010,02712,Store Credit,R013,"1,770.00",,
Credit Sale,02.07.2010,02743,Store Credit,R011,"1,400.00",,
Credit Sale,02.07.2010,02745,Store Credit,R028,295.00,,
Credit Sale,02.07.2010,02776,Store Credit,R007,"2,840.00",,
Credit Sale,02.07.2010,02782,Store Credit,R006,"2,165.00",,
Credit Sale,02.07.2010,02846,Store Credit,R012,520.00,,
Credit Sale,02.07.2010,02882,Store Credit,R028,"5,660.00",,
Credit Sale,02.07.2010,02883,AIServices,,600.00,,
Credit Sale,02.07.2010,02893,Store Credit,R013,"1,420.00",,
Credit Sale,02.07.2010,02895,Store Credit,R028,250.00,,
Credit Sale,02.07.2010,02935,Store Credit,R028,"1,615.00",,
Credit Sale,02.07.2010,02946,Store Credit,R011,"2,520.00",,
Credit Sale,02.07.2010,02992,Store Credit,R006,"1,250.00",,
Credit Sale,02.07.2010,03086,Store Credit,R019,"1,250.00",,
Credit Sale,02.07.2010,03148,Store Credit,R004,"1,715.00",,
Credit Sale,02.07.2010,03188,Store Credit,R011,"2,070.00",,
Credit Sale,02.07.2010,03188,Clinical Services,,"1,700.00",,
Credit Sale,03.07.2010,00029,Clinical Services,,750.00,,
Credit Sale,03.07.2010,00198,Store Credit,R002,"2,050.00",,
Credit Sale,03.07.2010,00298,Store Credit,R028,350.00,,
Credit Sale,03.07.2010,00318,AIServices,,"1,500.00",,
Credit Sale,03.07.2010,00380,Store Credit,R009,218.00,,
Credit Sale,03.07.2010,00423,Store Credit,R016,"1,100.00",,
Credit Sale,03.07.2010,00428,Store Credit,R009,"1,100.00",,
Credit Sale,03.07.2010,00794,Store Credit,R011,"1,770.00",,
Credit Sale,03.07.2010,00882,Store Credit,R002,"2,050.00",,
Credit Sale,03.07.2010,00941,Store Credit,R009,"1,100.00",,
Credit Sale,03.07.2010,00941,AIServices,,600.00,,
Credit Sale,03.07.2010,01044,Store Credit,R001,"2,500.00",,
Credit Sale,03.07.2010,01107,Store Credit,R028,650.00,,
Credit Sale,03.07.2010,01161,Store Credit,R006,"2,868.00",,
Credit Sale,03.07.2010,01265,Store Credit,R016,"1,420.00",,
Credit Sale,03.07.2010,01274,Store Credit,R002,"2,090.00",,
Credit Sale,03.07.2010,01343,Store Credit,R001,"1,420.00",,
Credit Sale,03.07.2010,01464,Store Credit,R020,"3,300.00",,
Credit Sale,03.07.2010,01549,Store Credit,R025,"1,450.00",,
Credit Sale,03.07.2010,01596,Store Credit,R002,"1,950.00",,
Credit Sale,03.07.2010,01599,Store Credit,R015,"2,713.00",,
Credit Sale,03.07.2010,01686,Store Credit,R011,130.00,,
Credit Sale,03.07.2010,01720,Store Credit,R009,230.00,,
Credit Sale,03.07.2010,01740,Store Credit,R008,"1,250.00",,
Credit Sale,03.07.2010,01827,Store Credit,R002,645.00,,
Credit Sale,03.07.2010,01850,Store Credit,R002,"1,250.00",,
Credit Sale,03.07.2010,01859,Store Credit,R001,"1,770.00",,
Credit Sale,03.07.2010,01956,Store Credit,R009,295.00,,
Credit Sale,03.07.2010,01962,Store Credit,R003,"1,420.00",,
Credit Sale,03.07.2010,02018,Store Credit,R006,"1,750.00",,
Credit Sale,03.07.2010,02021,Store Credit,R009,295.00,,
Credit Sale,03.07.2010,02048,Store Credit,R008,"1,250.00",,
Credit Sale,03.07.2010,02073,Store Credit,R005,"1,420.00",,
Credit Sale,03.07.2010,02077,Store Credit,R008,"1,545.00",,
Credit Sale,03.07.2010,02104,Store Credit,R001,785.00,,
Credit Sale,03.07.2010,02161,Clinical Services,,"3,100.00",,
Credit Sale,03.07.2010,02170,Store Credit,R009,"1,450.00",,
Credit Sale,03.07.2010,02221,Store Credit,R019,"1,190.00",,
Credit Sale,03.07.2010,02276,Store Credit,R028,"3,190.00",,
Credit Sale,03.07.2010,02277,Store Credit,R028,"1,570.00",,
Credit Sale,03.07.2010,02306,Store Credit,R019,"1,360.00",,
Credit Sale,03.07.2010,02311,Store Credit,R023,"1,530.00",,
Credit Sale,03.07.2010,02540,Store Credit,R028,"1,770.00",,
Credit Sale,03.07.2010,02671,Store Credit,R011,"1,100.00",,
Credit Sale,03.07.2010,02722,Store Credit,R028,350.00,,
Credit Sale,03.07.2010,02795,Store Credit,R028,785.00,,
Credit Sale,03.07.2010,02795,Store Credit,R028,"1,085.00",,
Credit Sale,03.07.2010,02859,Store Credit,R009,470.00,,
Credit Sale,03.07.2010,02911,Store Credit,R001,"5,120.00",,
Credit Sale,03.07.2010,02998,Store Credit,R019,"1,190.00",,
Credit Sale,03.07.2010,02999,Store Credit,R014,"2,200.00",,
Credit Sale,03.07.2010,03143,Store Credit,R025,"2,500.00",,
Credit Sale,03.07.2010,03149,Store Credit,R007,"1,250.00",,
Credit Sale,03.07.2010,03165,Store Credit,R003,"1,620.00",,
Credit Sale,04.07.2010,00454,Store Credit,R009,"1,100.00",,
Credit Sale,04.07.2010,00635,Store Credit,R011,130.00,,
Credit Sale,04.07.2010,00863,Store Credit,R011,"2,900.00",,
Credit Sale,04.07.2010,00998,Store Credit,R017,"1,320.00",,
Credit Sale,04.07.2010,01011,Store Credit,R017,270.00,,
Credit Sale,04.07.2010,01489,Store Credit,R017,350.00,,
Credit Sale,04.07.2010,01510,Store Credit,R017,"1,590.00",,
Credit Sale,04.07.2010,01889,Store Credit,R017,785.00,,
Credit Sale,04.07.2010,01961,Store Credit,R017,785.00,,
Credit Sale,04.07.2010,02411,Store Credit,R011,"1,420.00",,
Credit Sale,04.07.2010,02583,AIServices,,600.00,,
Credit Sale,04.07.2010,02619,Store Credit,R013,"1,420.00",,
Credit Sale,04.07.2010,02626,Store Credit,R008,350.00,,
Credit Sale,04.07.2010,02664,Store Credit,R019,"1,190.00",,
Credit Sale,04.07.2010,02876,Clinical Services,,"1,100.00",,
Credit Sale,04.07.2010,02885,Store Credit,R017,130.00,,
Credit Sale,05.07.2010,00085,Store Credit,R002,"1,280.00",,
Credit Sale,05.07.2010,00189,Store Credit,R001,"1,500.00",,
Credit Sale,05.07.2010,00302,Store Credit,R002,"1,545.00",,
Credit Sale,05.07.2010,00453,Store Credit,R004,"1,890.00",,
Credit Sale,05.07.2010,00504,Store Credit,R001,"1,500.00",,
Credit Sale,05.07.2010,00648,Store Credit,R001,"1,900.00",,
Credit Sale,05.07.2010,00700,Store Credit,R001,"1,680.00",,
Credit Sale,05.07.2010,00706,Store Credit,R028,"3,055.00",,
Credit Sale,05.07.2010,00772,Store Credit,R005,"1,820.00",,
Credit Sale,05.07.2010,01022,Store Credit,R011,193.00,,
Credit Sale,05.07.2010,01024,Store Credit,R002,"3,200.00",,
Credit Sale,05.07.2010,01073,Store Credit,R028,785.00,,
Credit Sale,05.07.2010,01108,Store Credit,R002,350.00,,
Credit Sale,05.07.2010,01124,Clinical Services,,"2,000.00",,
Credit Sale,05.07.2010,01165,Store Credit,R007,436.00,,
Credit Sale,05.07.2010,01291,Store Credit,R016,"1,100.00",,
Credit Sale,05.07.2010,01320,Store Credit,R002,"1,100.00",,
Credit Sale,05.07.2010,01386,AIServices,,600.00,,
Credit Sale,05.07.2010,01402,AIServices,,"1,500.00",,
Credit Sale,05.07.2010,01661,Store Credit,R023,"1,420.00",,
Credit Sale,05.07.2010,01737,Store Credit,R019,193.00,,
Credit Sale,05.07.2010,01775,Store Credit,R002,"1,100.00",,
Credit Sale,05.07.2010,01775,Store Credit,R002,350.00,,
Credit Sale,05.07.2010,01778,Store Credit,R002,"1,379.00",,
Credit Sale,05.07.2010,01939,Store Credit,R011,635.00,,
Credit Sale,05.07.2010,01950,Store Credit,R006,400.00,,
Credit Sale,05.07.2010,01956,Store Credit,R009,350.00,,
Credit Sale,05.07.2010,01959,Store Credit,R016,"1,420.00",,
Credit Sale,05.07.2010,01994,Store Credit,R001,"6,540.00",,
Credit Sale,05.07.2010,02171,Store Credit,R006,"1,100.00",,
Credit Sale,05.07.2010,02226,Store Credit,R020,"1,420.00",,
Credit Sale,05.07.2010,02277,Store Credit,R028,218.00,,
Credit Sale,05.07.2010,02380,Store Credit,R002,"3,750.00",,
Credit Sale,05.07.2010,02435,Store Credit,R006,350.00,,
Credit Sale,05.07.2010,02596,Store Credit,R016,"1,100.00",,
Credit Sale,05.07.2010,02651,Store Credit,R005,"1,395.00",,
Credit Sale,05.07.2010,02821,Store Credit,R016,"1,100.00",,
Credit Sale,05.07.2010,02892,Store Credit,R028,"7,285.00",,
Credit Sale,05.07.2010,02952,Store Credit,R020,"2,125.00",,
Credit Sale,05.07.2010,03056,Store Credit,R005,295.00,,
Credit Sale,05.07.2010,03140,Store Credit,R028,785.00,,
Credit Sale,05.07.2010,03150,Store Credit,R007,"1,250.00",,
Credit Sale,05.07.2010,03175,Store Credit,R023,120.00,,
Credit Sale,06.07.2010,00045,AIServices,,"1,500.00",,
Credit Sale,06.07.2010,00160,AIServices,,"1,500.00",,
Credit Sale,06.07.2010,00440,Store Credit,R014,424.00,,
Credit Sale,06.07.2010,00547,Store Credit,R001,495.00,,
Credit Sale,06.07.2010,01124,AIServices,,"3,000.00",,
Credit Sale,06.07.2010,01451,Store Credit,R015,129.00,,
Credit Sale,06.07.2010,01704,Store Credit,R003,400.00,,
Credit Sale,06.07.2010,01744,Store Credit,R025,"3,540.00",,
Credit Sale,06.07.2010,01770,Store Credit,R003,"1,100.00",,
Credit Sale,06.07.2010,01864,AIServices,,"1,500.00",,
Credit Sale,06.07.2010,02035,Store Credit,R001,"1,500.00",,
Credit Sale,06.07.2010,02078,Store Credit,R009,"1,100.00",,
Credit Sale,06.07.2010,02081,Clinical Services,,600.00,,
Credit Sale,06.07.2010,02081,Clinical Services,,"1,200.00",,
Credit Sale,06.07.2010,02272,Store Credit,R009,995.00,,
Credit Sale,06.07.2010,02364,Store Credit,R019,"1,490.00",,
Credit Sale,06.07.2010,02589,Clinical Services,,"1,100.00",,
Credit Sale,06.07.2010,02634,Store Credit,R001,120.00,,
